¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,ÇÑÈ­,144,124,7,3878,1497,152,0.977,8,124,66,34.7
2,µÎ»ê,144,79,8,3863,1522,160,0.986,4,82,44,34.9
2,LG,144,103,12,3863,1580,139,0.981,9,80,49,38.0
4,NC,144,100,4,3859,1430,136,0.981,3,70,43,38.1
5,»ï¼º,144,90,12,3847,1410,140,0.983,8,115,58,33.5
6,³Ø¼¾,144,94,8,3841,1460,121,0.983,11,98,60,38.0
7,KIA,144,111,10,3828,1441,139,0.979,4,136,49,26.5
8,SK,144,123,7,3822,1691,149,0.978,4,106,64,37.6
9,KT,144,130,5,3819,1550,151,0.976,11,115,55,32.4
10,·Ôµ¥,144,91,14,3799,1545,142,0.983,14,90,59,39.6
