¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,µÎ»ê,4.45,144,93,50,36,55,0.650,1287,1385,136,498,77,982,682,636,1.46
2,NC,4.48,144,83,58,36,62,0.589,1286,1314,137,516,86,1147,690,640,1.42
3,SK,4.87,144,69,75,31,43,0.479,1274,1386,151,527,76,945,784,689,1.50
4,³Ø¼¾,4.96,144,77,66,38,74,0.538,1280,1487,152,435,68,895,757,705,1.50
5,KIA,4.97,144,70,73,38,74,0.490,1276,1456,131,561,59,965,785,705,1.58
6,LG,5.04,144,71,71,34,75,0.500,1287,1426,122,539,109,909,807,721,1.53
7,·Ôµ¥,5.63,144,66,78,27,59,0.458,1266,1486,161,585,78,1009,865,792,1.64
8,»ï¼º,5.64,144,65,78,34,60,0.455,1282,1507,193,518,87,935,869,804,1.58
9,ÇÑÈ­,5.76,144,66,75,24,39,0.468,1292,1520,155,634,76,976,908,827,1.67
10,KT,5.92,144,53,89,27,48,0.373,1273,1593,145,560,84,980,927,838,1.69
