¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,KIA,0.302,144,5841,5142,906,1554,292,29,170,2414,868,55,56
2,µÎ»ê,0.294,144,5833,5102,849,1499,270,20,178,2343,812,48,47
3,NC,0.293,144,5790,5079,786,1489,277,19,149,2251,739,62,48
4,³Ø¼¾,0.290,144,5712,5098,789,1479,267,30,141,2229,748,21,42
5,ÇÑÈ­,0.287,144,5665,5030,737,1445,261,16,150,2188,684,85,38
6,·Ôµ¥,0.285,144,5671,4994,743,1425,250,17,151,2162,697,76,32
7,LG,0.281,144,5614,4944,699,1390,216,20,110,1976,663,76,55
8,»ï¼º,0.279,144,5707,5095,757,1419,255,36,145,2181,703,58,55
9,KT,0.275,144,5485,4937,655,1360,274,17,119,2025,625,62,45
10,SK,0.271,144,5564,4925,761,1337,222,15,234,2291,733,57,41
