¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,SK,3.48,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4
2,µÎ»ê,3.51,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5
3,Å°¿ò,3.61,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6
4,LG,3.86,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1
5,NC,4.01,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2
6,KT,4.29,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6
7,»ï¼º,4.64,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5
8,KIA,4.65,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2
9,ÇÑÈ­,4.80,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4
10,·Ôµ¥,4.83,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4
