¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,µÎ»ê,0.293,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246
2,NC,0.291,529,21,104,997,106,0.462,0.366,0.828,144,0.330,0.286
3,KT,0.284,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192
4,LG,0.277,509,21,75,969,115,0.428,0.349,0.777,144,0.310,0.223
5,·Ôµ¥,0.276,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216
6,KIA,0.274,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258
7,Å°¿ò,0.269,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211
8,»ï¼º,0.268,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.260
9,SK,0.250,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203
10,ÇÑÈ­,0.245,462,9,89,1163,119,0.338,0.320,0.658,144,0.245,0.220
