¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
9,KIA,144,84,14,3819,1537,148,0.985,6,140,56,28.6
10,KT,144,118,14,3800,1530,159,0.978,6,139,64,31.5
5,LG,144,103,14,3839,1608,162,0.981,8,127,52,29.1
7,NC,144,83,3,3838,1460,133,0.985,5,85,37,30.3
4,SK,144,95,7,3842,1471,130,0.982,6,108,51,32.1
1,³Ø¼¾,144,110,24,3858,1540,138,0.98,10,111,52,31.9
1,µÎ»ê,144,93,7,3858,1498,134,0.983,6,109,48,30.6
3,·Ôµ¥,144,114,10,3844,1569,138,0.9790000000000001,16,107,54,33.5
8,»ï¼º,144,96,9,3826,1304,104,0.982,8,80,49,38.0
5,ÇÑÈ­,144,105,9,3839,1582,145,0.981,14,165,63,27.6
