¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
5,KIA,4.79,1,10,44,17,5673,22126,0.28300000000000003,252,31,101,49,22,80,4
10,KT,5.56,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4
2,LG,4.62,3,5,57,15,5599,21661,0.27699999999999997,227,26,91,37,30,82,3
1,NC,4.26,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3
4,SK,4.71,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4
6,³Ø¼¾,4.91,1,7,49,11,5709,22181,0.281,236,28,70,45,8,85,4
7,µÎ»ê,5.02,3,10,58,18,5762,22557,0.28,248,22,104,45,15,72,11
8,·Ôµ¥,5.07,3,5,59,18,5724,22356,0.29100000000000004,253,13,76,49,26,89,3
3,»ï¼º,4.69,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2
9,ÇÑÈ­,5.11,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9
