¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
9,KIA,0.28600000000000003,144,5696,4999,803,1429,264,28,170,2259,754,66,45
10,KT,0.276,144,5620,4963,672,1369,214,11,116,1953,639,65,45
6,LG,0.29,144,5765,5051,786,1464,238,26,118,2108,744,65,54
5,NC,0.29100000000000004,144,5833,5007,857,1457,249,19,169,2251,808,70,52
4,SK,0.29100000000000004,144,5672,5023,753,1464,234,19,182,2282,715,71,47
2,³Ø¼¾,0.293,144,5702,4990,813,1464,254,39,134,2198,765,34,59
1,µÎ»ê,0.298,144,5841,5044,935,1504,284,25,183,2387,877,43,68
8,·Ôµ¥,0.28800000000000003,144,5784,5001,777,1439,252,20,127,2112,732,62,41
3,»ï¼º,0.293,144,5863,5093,852,1492,249,34,142,2235,792,88,55
7,ÇÑÈ­,0.289,144,5838,5109,826,1478,242,27,142,2200,787,87,41
