¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
9,KIA,0.28600000000000003,499,12,87,997,109,0.452,0.358,0.81,144,0.28800000000000003,0.28600000000000003
10,KT,0.276,499,7,48,933,130,0.39399999999999996,0.345,0.7390000000000001,144,0.278,0.22
6,LG,0.29,523,10,72,982,92,0.41700000000000004,0.361,0.778,143,0.28600000000000003,0.23600000000000002
5,NC,0.29100000000000004,609,18,93,1023,133,0.45,0.375,0.825,143,0.302,0.239
4,SK,0.29100000000000004,429,13,102,1018,104,0.45399999999999996,0.35600000000000004,0.81,142,0.276,0.299
2,³Ø¼¾,0.293,556,17,63,956,121,0.44,0.368,0.8079999999999999,144,0.306,0.244
1,µÎ»ê,0.298,600,11,86,884,121,0.473,0.37799999999999995,0.851,144,0.305,0.261
8,·Ôµ¥,0.28800000000000003,596,18,83,1061,120,0.42200000000000004,0.37,0.792,144,0.285,0.251
3,»ï¼º,0.293,552,15,75,864,119,0.439,0.36700000000000005,0.8059999999999999,144,0.298,0.221
7,ÇÑÈ­,0.289,510,19,91,1025,123,0.431,0.36200000000000004,0.7929999999999999,144,0.301,0.28
