¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
8,KIA,4.65,144,62,80,30,64,0.43700000000000006,1264,1362,101,504,76,976,723,653,1.48
6,KT,4.29,144,71,71,37,59,0.5,1277,1303,118,481,61,848,661,608,1.4
4,LG,3.86,144,79,64,43,62,0.552,1283,1257,89,499,91,953,633,551,1.37
5,NC,4.01,144,73,69,32,68,0.514,1284,1285,103,483,92,991,631,572,1.38
1,SK,3.48,144,88,55,51,92,0.615,1292,1240,99,436,50,1092,546,500,1.3
2,µÎ»ê,3.51,144,88,55,44,69,0.615,1283,1259,78,380,70,860,550,500,1.28
10,·Ôµ¥,4.83,144,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54
7,»ï¼º,4.64,144,60,83,29,60,0.42,1275,1332,125,523,70,924,731,658,1.45
3,Å°¿ò,3.61,144,86,57,39,91,0.601,1279,1293,61,371,58,984,572,513,1.3
9,ÇÑÈ­,4.8,144,58,86,28,43,0.40299999999999997,1268,1407,120,526,72,934,737,677,1.52
