ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
KIA,144,100,7,3810,1480,169,0.981,10,82,46,35.9,KIA,0.274,144,5642,4937,724,1355,224,13,130,1995,692,63,38,KIA,0.274,535,10,69,957,114,0.404,0.35100000000000003,0.755,144,0.284,0.258,KIA,5.13,144,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54,KIA,5.13,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,KIA,144,72,47,25,65.3,47,6
KT,144,102,4,3871,1486,154,0.981,10,75,21,21.9,KT,0.284,144,5762,5047,813,1432,238,21,163,2201,767,64,45,KT,0.284,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192,KT,4.54,144,81,62,33,71,0.5660000000000001,1290,1357,118,523,59,848,715,651,1.46,KT,4.54,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1,KT,144,156,106,50,67.9,49,6
LG,144,80,6,3878,1460,156,0.985,9,89,36,28.8,LG,0.277,144,5681,4999,802,1384,253,29,149,2142,760,49,49,LG,0.277,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,LG,4.37,144,79,61,29,67,0.564,1292,1344,123,493,86,1019,694,627,1.42,LG,4.37,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4,LG,144,122,83,39,68.0,64,5
NC,144,87,9,3890,1294,120,0.983,10,49,42,46.2,NC,0.29100000000000004,144,5833,5102,888,1483,258,28,187,2358,845,46,51,NC,0.29100000000000004,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.28600000000000003,NC,4.58,144,83,55,31,88,0.601,1296,1292,153,547,79,1049,714,660,1.42,NC,4.58,0,7,59,19,5690,22362,0.26,199,15,53,35,10,65,7,NC,144,139,101,38,72.7,49,7
SK,144,99,6,3778,1326,139,0.981,6,129,57,30.6,SK,0.25,144,5502,4839,634,1212,177,17,143,1852,595,49,34,SK,0.25,511,18,69,981,112,0.383,0.329,0.7120000000000001,144,0.254,0.203,SK,5.57,144,51,92,20,53,0.35700000000000004,1259,1343,162,670,84,953,846,780,1.6,SK,5.57,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5,SK,144,126,81,45,64.3,44,16
µÎ»ê,144,85,10,3857,1282,126,0.984,6,91,25,21.6,µÎ»ê,0.293,144,5776,5046,816,1477,263,20,125,2155,778,38,73,µÎ»ê,0.293,551,20,68,796,132,0.4270000000000001,0.365,0.792,142,0.29100000000000004,0.246,µÎ»ê,4.31,144,79,61,23,45,0.564,1285,1395,109,478,61,1046,695,616,1.46,µÎ»ê,4.31,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4,µÎ»ê,144,125,88,37,70.4,63,4
·Ôµ¥,144,94,3,3832,1444,124,0.982,7,95,28,22.8,·Ôµ¥,0.276,144,5669,4958,750,1366,252,6,131,2023,711,39,48,·Ôµ¥,0.276,569,18,55,875,148,0.408,0.353,0.7609999999999999,144,0.28300000000000003,0.21600000000000005,·Ôµ¥,4.64,144,71,72,25,59,0.4970000000000001,1277,1351,143,447,58,1002,720,659,1.41,·Ôµ¥,4.64,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,·Ôµ¥,144,121,90,31,74.4,52,3
»ï¼º,144,102,9,3817,1310,126,0.98,6,57,38,40.0,»ï¼º,0.268,144,5574,4923,699,1317,211,12,129,1939,658,50,53,»ï¼º,0.268,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.26,»ï¼º,4.78,144,64,75,25,80,0.46,1272,1330,151,542,67,931,745,676,1.47,»ï¼º,4.78,3,11,53,19,5634,22269,0.27,222,16,50,47,16,55,5,»ï¼º,144,181,132,49,72.9,42,14
Å°¿ò,144,112,15,3841,1544,143,0.98,8,87,39,31.0,Å°¿ò,0.269,144,5721,4945,759,1332,254,25,127,2017,713,43,52,Å°¿ò,0.269,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211,Å°¿ò,4.39,144,80,63,42,81,0.5589999999999999,1280,1336,126,446,73,950,692,624,1.39,Å°¿ò,4.39,0,6,53,18,5556,21349,0.27,208,15,50,39,16,51,7,Å°¿ò,144,140,113,27,80.7,40,11
ÇÑÈ­,144,100,7,3795,1279,133,0.981,10,120,45,27.3,ÇÑÈ­,0.245,144,5483,4862,551,1189,195,12,79,1645,523,45,25,ÇÑÈ­,0.245,462,9,89,1163,119,0.338,0.32,0.6579999999999999,144,0.245,0.22,ÇÑÈ­,5.28,144,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59,ÇÑÈ­,5.28,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5,ÇÑÈ­,144,87,51,36,58.6,43,4
